Board,Grade,Subject,Chapter,Topic,Type,Difficulty,Marks,QuestionText_EN,QuestionText_UR,OptionA_EN,OptionB_EN,OptionC_EN,OptionD_EN,OptionA_UR,OptionB_UR,OptionC_UR,OptionD_UR,CorrectAnswer,Sources,ImageURL
"Punjab Board","Class 9","Biology","Chapter 1","1.8 Malaria-An Example of Biological Method","MCQ","Medium","1","What is the correct experiment to know that Plasmodium destroys blood cells?","یہ جاننے کا صحیح تجربہ کیا ہے کہ پلازموڈیم خون کے خلیات کو تباہ کرتا ہے؟","Examine the blood of a single healthy person","Examine the blood of a single infected person","Allow mosquito to bite a healthy person and examine his blood","Examine the blood of some healthy and also some infected persons","ایک صحت مند شخص کے خون کی جانچ کریں","کسی ایک متاثرہ شخص کے خون کی جانچ کریں","مچھر کو ایک صحت مند انسان کو کاٹنے دیں اوراس کے خون کا مشاہدہ کریں","کچھ صحت مند اور کچھ متاثرہ افراد کے خون کی جانچ کریں","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.8 Malaria-An Example of Biological Method","MCQ","Medium","1","How many years ago malaria was known to physicians?","ڈاکٹروں کو ملیریا کے بارے میں کتنے سال پہلے معلوم ہوا تھا؟","1000 years","2000 years","5000 years","100 years","1000 سال","2000 سال","5000 سال","100 سال","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.8 Malaria-An Example of Biological Method","MCQ","Medium","1","When Laveran did research on cause of malaria?","لیوران نے ملیریا کی وجہ ناننے کے لیے تحقیق کب کی؟","1778","1670","1878","1678","","","","","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.8 Malaria-An Example of Biological Method","MCQ","Medium","1","How is malaria casually Transmitted?","ملیریا عموماً کیسے پھیلتا ہے؟","Through contaminated food","Through direct contact with an infected person","Through the bite of an infected mosquito","Through air born transmission","","","","","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.8 Malaria-An Example of Biological Method","MCQ","Medium","1","What is a common method of preventing malaria?","ملیریا سے بچاؤ کا عام طریقہ کیا ہے؟","Using insecticide","Wearing protective clothing","Appling insect repellent","All of the above","کیڑے ماردواکا استعمال","حفاظتی لباس پہننا","انسیکٹ ریپلنٹ لگانا","ان سب کا استعمال","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.8 Malaria-An Example of Biological Method","MCQ","Medium","1","Scientist developed a logical result by taking a hypothesis as true and forms:","سائنسدان ہائپوتھیس کو درست مان کر منطقی نتیجہ اخذ کرتے ہیں،اُسے کہتے ہیں:","Deduction","Theory","Law","Principle","ڈیڈکشن","تھیوری","قانون","اصول","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.8 Malaria-An Example of Biological Method","MCQ","Medium","1","Ronald Ross performed his experiments in:","رونالڈروس نے اپنے تجربات کیے:","1680","1780","1880","1980","","","","","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.8 Malaria-An Example of Biological Method","MCQ","Medium","1","What was the main object of Ronald Ross's Experiments?","رونالڈروس کے تجربات کا بنیادی مقصد کیا تھا؟","To discover the cause of malaria","To develop a vaccine for malaria","To study the life cycle of Malaria parasite","To investigate the role of mosquitoes in transmitting malaria","ملیریا کی وجہ معلوم کرنا","ملیریا کی ویکسین بنانا","ملیریا کے پیراسائٹ کی زندگی کے چکر کا مطالعہ","مچھر کے ذریعے ملیریا کی منتقلی کی تحقیق","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 1","1.8 Malaria-An Example of Biological Method","MCQ","Medium","1","The mosquito which causes malaria is bird:","وہ مچھر جو پرندوں میں ملیری پھیلاتا ہے:","Male culex","Female culex","Male anopheles","Female anopheles","نرکیولیکس","مادہ کیولیکس","نراینوفلیز","مادہ اینوفلیز","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.1 BIODIVERSITY","MCQ","Medium","1","The variety of organisms in a particular area:","کسی خاص علاقے میں جانداروں کی مختلف قسم:","Biodiversity","Classification","Domains","Binomial nomenclature","بائیوڈائیورسٹی","کلاسیفیکیشن","ڈومینز","بائی نومیل نومل کلچر","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.1 BIODIVERSITY","MCQ","Medium","1","The biodiversity in a place depends on factors:","ایک جگہ پر بائیو ڈائیورسٹی عوامل پرمنحصر ہے:","Climate","Altitude","Soil type","All","آب وہوا","بلندی","مٹی کی قسم","تمام","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.1 BIODIVERSITY","MCQ","Medium","1","The international biodiversity day is:","بین الاقوامی بائیو ڈائیورسٹی کا عالمی دن ہے؟","21st May","22nd May","21st June","22nd June","21 مئی","22 مئی","21 جون","22 جون","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.1 BIODIVERSITY","MCQ","Medium","1","Biodiversity helps maintain the balance of ecosystem by contributing to the:","بائیو ڈائیورسٹی میں تعاون کےلیے ماحولیاتی نظام کے توازن کو برقرار رکھنے میں مدد ملتی ہے:","Water cycle","Carbon cycle","Nitrogen cycle","All of the above","واٹر سائیکل سے","کاربن سائیکل سے","نائٹروجن سائیکل سے","درج بالا تمام","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.1 BIODIVERSITY","MCQ","Medium","1","Which of the following help to regulate the climate:","مندرجہ ذیل میں سے کون آب وہوا کو برقرار رکھنے میں مدد کرتا ہے؟","Amoeba","Protozoa","Algae","Bacteria","امیبیا","پروٹوزہ","الجی","بیکٹیریا","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.1 BIODIVERSITY","MCQ","Medium","1","What does biodiversity refer to:","بائیو ڈائیورسٹی سے کیا مراد ہے؟","The variety of living organism is an area","The quantity of water bodies a region","The speed at which species evolve","The number of cells in a organism","ایک علاقے میں مختلف قسم کے جاندار","ایک علاقے میں آبی اجسام کی مقدار","رفتار جس میں سپی شیز کا ارتقا ہوتا ہے","ایک جاندار میں سیلز کی تعداد","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.1 BIODIVERSITY","MCQ","Medium","1","Importance of biodiversity is:","بائیوڈائیورسٹی کی اہمیت ہے:","It provides food and shelter to humans","Its maintains the ecosystem","Its supports the tourism industry","All of this","یہ انسانوں کو خوراک اور رہائش فراہم کرتی ہے","یہ ایکوسسٹم کو برقراررکھتی ہے","یہ سیاحت کی صنعت کو سہارا دیتی ہے","یہ سب کچھ","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","Out of total kinds of organisms, how many are the kinds of plants?","جانداروں کی کل اقسام میں سے پودوں کی کتنی اقسام ہیں؟","0.5 million","1 million","1.5 million","2 million","0.5 ملین","1 ملین","1.5 ملین","2 ملین","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","Out of total kinds of organisms, how many kinds of animals are:","جانداروں کی کل اقسام میں سے جانوروں کی کتنی اقسام ہیں:","0.5 million","1 million","1.5 million","2 million","0.5 ملین","1 ملین","1.5 ملین","2 ملین","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","A method by which biologists divide organisms into groups and subgroups on the basis of similarities found in them:","ایک ایسا طریقہ کار جس کے ذریعے بائیولوجسٹس جانداروں کو ان میں پائے جانے والی مشابہتوں کی بنیاد پر گروپس اور سب گروپس میں تقسیم کرتے ہیں؟","Biodiversity","Classification","Domains","Binomial nomenclature","بائیو ڈائیورسٹی","کلاسیفیکیشن","ڈومینز","بائیو نومیل نومن کلچر","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","Which of the following statement describes the aim of classification:","مندرجہ ذیل میں سے کونسا بیان کلاسیفیکشن کے مقصد کو بیان کرتا ہے؟","To study the principle of genetics","To find the cause of origin of organisms","To find the evolutionary relationships among organisms","To determine the cause of deterioration of species","جنیٹکس کے اصولوں کا مطالعہ کرنا","جانداروں کی اصلیت کی وجہ تلاش کرنے کےلیے","جانداروں کے درمیان ارتقائی تعلقات تلاش کرنا","سپی شیز کے بگاڑ کی وجہ تلاش کرنا","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","Which of the following provides a framework for studying and comparing different species:","مندرجہ ذیل میں سے کون سپی شیز کا مطالعہ اور موازنہ کرنے کےلیے فریم ورک مہیا کرتا ہے؟","Biodiversity","Classification","Domain","Binomial nomenclature","بائیو ڈائیورسٹی","کلاسیفیکیشن","ڈومین","بائیو نومیل نومل کلچر","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","Which of the following statement is incorrect about classification:","کلاسیفیکیشن کے بارے میں درج ذیل میں سے کون سا بیان غلط ہے:","Explains the interrelationship among organisms","Provides a common language for biologists","Helps in the identification of existing species","In understanding the evolutionary relationships","جانداروں کے مابین باہمی تعلقات کی وضاحت کرنا","بائیو لوجسٹس کےلیے ایک مشترکہ زبان فراہم کرنا","موجودہ سپی شیز کی شناخت میں مدد کرنا","ارتقائی تعلقات کو سمجھنا","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","The branch of biology which deals with classification is:","بائیولوجی کی وہ شاخ جو کلاسسیفیکیشن سے متعلق ہو:","Taxonomy","Systematic","Botany","Genetics","ٹیکسانومی","سسٹمیٹک","بوٹنی","جنیٹکس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","How many types of organisms have biologists named and classified?","بائیولوجسٹ نے کتنی اقسام کے جانداروں کے نام رکھے اوران کی درجہ بندی کی ہے؟","1 Million","2 Million","4 Million","6 Million","1 ملین","2 ملین","4 ملین","6 ملین","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","On what basis do biologists classify organisms into groups and sub-groups?","بائیولوجسٹ جانداروں کو گروپوں اور ذیلی گروپوں میں کس بنیادپر تقسیم کرتے ہیں","Similar physical characteristics","Age and generation","Regions and areas","Height and Weight","مشابہ جسمانی خصوصیات","عمر اور نسل","خطے اور علاقے","قداوروزن","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.2 CLASSIFICATION","MCQ","Medium","1","What do biologists study about living organisms through classification?","بائیولوجسٹ کلاسیفیکیشن سے جانداروں کی کس چیزیز کا مطالعہ کرتے ہیں؟","Habits and Diet","Wide diversity","Lifestyle","Life","عادات وخوراک","وسیع ڈائیوورسٹی","رہن سہن","زندگی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Which of the following taxonomic ranks represents the broadest rank?","ٹیکسانومی کے درج ذیل درجات میں سے کون سا درجہ سب سے بڑا ہے؟","Species","Genus","Kingdom","Domain","سپی شیز","جینس","کنگڈم","ڈومین","D","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Who devised the Linnaean system of taxonomic ranks in 1735:","1735 میں کس نے ٹیکسانومی کے درجات کا لینئیں سسٹم متعارف کروایا:","Darwin","Carl Linnaeus","Mendel","Ronald Ross","ڈارون","کارل لینئیس","مینڈل","رونالڈ روس","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Which rank was added to the taxonomic ranks in 1977:","ٹیکسانومی کے درجات میں کونسا درجہ 1977 میں شامل کیا گیا؟","Domain","Kingdom","Phylum","Class","ڈومین","کنگڈم","فائیلم","کلاس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","The highest taxonomic rank is:","ٹیکسانومی کا سب سے اعلی درجہ ہے:","Domain","Kingdom","Phylum","Class","ڈومین","کنگڈم","فائیلم","کلاس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Organisms are divided into ...... ranks:","جانداروں کو ...... درجات میں تقسیم کیا گیا ہے:","Two","Three","Four","Eight","دو","تین","چار","آٹھ","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Domain is divided into:","ڈومین کو تقسیم کیا جاتا ہے:","Kingdom","Phylum","Class","Order","کنگڈم","فائیلم","کلاس","آرڈر","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Kingdom is sub divided into related:","کنگڈم مزید قریبی تعلق رکھنے والے میں تقسیم ہوتا ہے:","Phyla","Division","Both A and B","Class","فائیلم","ڈویژن","الف اور ب دونوں","کلاس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","What comes next to family:","فیملی کے بعد کیا آتا ہے؟","Order","Class","Genus","Species","آرڈر","کلاس","جینس","سپی شیز","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","The most specific level of classification:","کلاسفیکشن کا سب سے مخصوص لیول ہے:","Order","Class","Genus","Species","آرڈر","کلاس","جینس","سپی شیز","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","It consist of similar organisms that can interbreed and produce fertile offspring:","یہ ایسے جانداروں پر مشتمل ہے جو افزائش تولیس کرسکیں اور نئے جاندار پیدا کرسکیں:","Order","Species","Genus","Family","آرڈر","سپی شیز","جینس","فیملی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","The order of fruit fly is:","پھل کی مکھی کا آرڈر ہے:","Insecta","Diptera","Drosophilidae","Drosophila","انسکٹا","ڈیپٹریا","ڈروسوفلیڈیا","ڈروسوفلا","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","The human belongs to which family:","انسان کا تعلق کس فیملی سے ہے؟","Primates","Hominidae","Fabales","Fabaceae","پرائی میٹس","ہومی نائیڈی","فے بیلز","فی بلیس","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","What is the genus of pea:","مٹر کے جینس کیا ہیں؟","Fabales","Fabaceae","Pisum","P. Sativum","فی بیلز","فی بلیسی","پائی سم","پی سیٹوم","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Who created a classification system for living things based on seven levels of taxonomy?","کس نے جانداروں کےلیے ٹیکسانومی کے سات درجات پر کلاسیفکیشن سسٹم بنایا؟","Ibn Rushd","Tournefort","Carl Linnaeus","Andrea Caesalpinia","ابن رشد","ٹورنفورٹ","کارل لینیئس","اینڈریا سیسلپینیا","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Who is considered the father of modern taxonomy?","جدید ٹیکسانومی کا باپ کس کو سمجھا جاتا ہے؟","Albert Einstein","Gregor Mednel","Chales Darwin","Carl Linnaeus","البرٹ آئن سٹائن","گریگور مینڈل","چارلس ڈارون","کارل لینیئس","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","A related group of genera consist of:","جینزرا ایک متعلقہ گروپ ہے:","A phylum","A class","An order","A family","فائیلم","کلاس","آرڈر","فیملی","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","If humans and cats belong to the same class, they must belong to the same:","اگر انسانوں اور بلیوں کا تعلق ایک ہی کلاس سے ہوتو ان میں ایک جیسا ہوگا:","Phylum","Order","Family","Genus","فائیلم","آرڈر","فیملی","جینس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Which one is the basic unit of classification?","کلاسیفکیشن کی بنیادی اکائی کون سی ہے؟","Kingdom","Phylum","Class","Species","کنگڈم","فائیلم","کلاس","سپی شیز","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Which of the following is correct order of Taxonomic ranks from General to most specific?","ٹیکسانومی میں درجوں کی درست ترتیب ہے:","Kingdom,Phylum,Class,Order,Family,Genus,Species","Phylum,Species,Genus,Order,Kingdom","Species,Genus,Family,Order,Class,Phylum,Kingdom","None of these","کنگڈم،فائلم،کلاس،آرڈر،فیملی،جینس،سپی شیز","فائلم،سپی شیز،جینس،آرڈر،کنگڈم","سپی شیز،جینس،فیملی،آرڈر،کلاس،فائلم،کنگڈم","ان میں سے کوئی نہیں","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.3 TAXONOMIC RANKS","MCQ","Medium","1","Rank that includes related genera:","ہرآرڈر تقسیم ہوتا ہے:","Family","Order","Class","Phylum","فیملی میں","آرڈر میں","کلاس میں","فائلم میں","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Which of the following is a key characteristic that distinguishes eukaryotic cells from prokaryotic cells?","درج ذیل میں سے کون سی خصوصیت یوکیریوٹک سیلز کو پروکیریوٹک سیلز سے الگ کرتی ہے؟","Lack of a cell wall","Presence of a nucleus","Absence of ribosomes","Smaller size","سیل وال کی غیر موجودگی","نیوکلئیس کی موجودگی","رائبوسومز کی غیر موجودگی","چھوٹا سائز","B","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Who translated Aristotle book into Arabic?","ارسطو کی کتاب کا عربی میں ترجمہ کس نے کیا؟","Ibn Rushd","Abu Usman Umar Al- Jahiz","Tournefort","Carl Linnaeus","ابن رشد","ابو عثمان عمر الجاحز","ٹورنفورٹ","کارل لینیئس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Who wrote a lot about the life of ants?","چیونٹیوں کی زندگی کے بارے میں زیادہ کس نے لکھا ہے؟","Aristotle","Abu Usman Umar Al-Jahiz","Andrea Caesalpinia","Tournefort","ارسطو","ابو عثمان عمر الجاحز","اینڈریا سیزلپینیا","ٹورنفورٹ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","The organisms that can prepare their own food are:","وہ جاندار جو اپنی خوراک خود تیار کرتے ہیں:","Autotrophs","Heterotrophs","Prokaryotes","Eukaryotes","آٹوٹروفس","ہیٹروٹروفس","پروکیریوٹس","یوکریوٹس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Which organism have both plant like and animal like characters:","کونسے جانداروں میں پودے اور جانوروں دونوں طرح کی خصوصیات ہوتی ہیں؟","Bacteria","Fungi","Euglena","Archaea","بیکیٹریا","فنجائی","یوگلینا","آرکیا","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","The difference between prokaryotes and eukaryotes cannot be cleared by the:","پروکیریوٹس اور یوکرائٹس کے درمیان فرق کو واضح نہیں کرسکتا:","Two kingdom classification system","Three kingdom classification system","Five kingdom classification system","Six kingdom classification system","دو کنگڈم کلاسیفیکیشن","تین کنگڈم کلاسیفیکیشن","چار کنگڈم کلاسیفیکیشن","چھ کنگڈم کلاسیفیکیشن","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Who proposed the third kingdom classification system:","کس نے تین کنگڈم کلاسیفیکیشن سسٹم تجویز کیا:","Carl Linnaeus","Ernst Hackel","E- Chatton","Robert Whittaker","کارل لینیئس","ارنسٹ ہیکل","ای چیٹن","رابرٹ وائٹیکر","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Ernst Hackel includes prokaryotes in which kingdom:","ارنسٹ ہیکل نے پروکیریوٹس کو کس کنگڈم میں شامل کیا؟","Kingdom Plantae","Kingdom Animalia","Kingdom Protista","Kingdom fungi","کنگڈم پلانٹی","کنگڈم اینیمل","کنگڈم پروٹسٹا","کنگڈم فنجائی","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","In third kingdom classification system taxonomists disagreed about the position of:","کلاسیفیکیشن کے تیسرے کنگڈم سسٹم میں ٹیکسانومی کے ماہرین نے جگہ کے بارے میں اختلاف کیا:","Euglena","Amoeba","Fungi","All of the above","یوگلینا","امیبا","فنجائی","تمام","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Wo introduced the five-kingdom classification system:","کس نے پانچ کنگڈم کلاسیفیکیشن سسٹم کو متعارت کروایا:","E Chatton","Robert Whittaker","Margulis","Schwartz","ای چیٹن","رابرٹ وائٹیکر","مارگولیس","شوارٹز","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Who modified five kingdom classification system?","کس نے پانچ کنگڈم کلاسیفیکیشن میں ترمیم کی؟","Margulis","Schwartz","Both A and B","Robert Whittaker","مارگولیس","شوارٹز","الف اور ب دونوں","رابرٹ وائٹیکر","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Prokaryotes are divided into:","پروکیریوٹس کو تقسیم کیا گیا ہے:","Single domain","Two domain","Three domain","Four domain","سنگل ڈومین","دو ڈومین","تین ڈومین","چار ڈومین","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","In 1977, American microbiologist added a domain above the kingdom present in the previously used five kingdom system:","1977 میں، امریکی مائیکرو بائیولوجسٹ نے پہلے استعمال ہونے والے پانچ کنگڈم سسٹم کے اوپر ڈومین کلاسیفیکشن کا لیول شامل کیا:","Robert Whittaker","Margulis and Schwartz","E Chatton","Carl Woese","رابرٹ وائٹیکر","مارگولیس اور شوارٹز","ای چیٹن","کارل ووز","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Margulis and Schwartz consider _______ along with level of cellular organization and modes of nutrition:","مارگولیس اور شوارٹز نے سیلولر آرگنائزیشن اور غذائیت کے ساتھ ...... کو زیر غور رکھا:","Genetics","Embryology","Microbiology","All of these","جنیکٹس","ایمبرلوجی","مائیکروبیالوجی","یہ تمام","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Into which kingdom you place a multicellular organism that performs photosynthesis.","کس کنگڈم میں آپ ایک ملٹی سیلولر جاندار رکھتے ہیں جو کہ فوٹو سینتھی سیز سرانجام دیتے ہیں؟","Monera","Protista","Plantae","Animalia","مونیرا","پروٹسٹا","پلانٹی","ینیملیا","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Which kingdom is mismatched with the characteristics?","کونسا کنگڈم خصوصیات کے ساتھ نہیں ملتا:","Fungi-usually saprotrophic","Animalia-rarely ingestive","Protista- various modes of nutrition","Plantae-photosynthetic","فنجائی عام طور پر سپیکٹرپیک","اینمیلا شاذ و نادر ہی ہضم کرنے والا","پروٹسٹا- غذائیت کے مختلف طریقے","پلانٹی فوٹو سینتھٹک","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","The organism that feed on dead, decaying matter are called:","جاندار جو سڑتے ہوئے نامیاتی مادوں سے غذا جذب کرتا ہے؟","Saprotrophs","Autotrophs","Heterotrophs","Parasites","سپروٹروفس","آٹوٹروفس","ہیٹروٹروفس","پیراسائٹس","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Colonial organization feature of kingdom:","کولونیل آرگنائزیشن کنگڈم کی خصوصیت ہے؟","Animalia","Protista","Fungi","Plantae","انیمیلیا","پروٹسٹا","فنجائی","پلانٹی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","All prokaryotic organisms are include in kingdom:","تمام پروکیروٹک جاندار کنگڈم میں شامل ہوتے ہیں:","Eubacteria","Archaebacteria","Fungi","Both A and B","یوبیکٹیریا","آرکی بیکٹریا","فنجائی","الف اور ب دونوں","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Which kingdom includes eukaryotic, multicellular and absorptive heterotrophs?","کس کنگڈم میں یوکرائیوٹک، ملٹی سیلولر اور جاذب ہیٹروٹروفس شامل ہیں؟","Monera","Protista","Fungi","None of above","مونیرا","پروٹسٹا","فنجائی","ان میں سے کوئی نہیں","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Which of the following character is not related to Animalia?","مندرجہ ذیل میں سے کونسی خصوصیت اینملیا کے متعلق نہیں ہے؟","Eukaryotic","Multicellular","Heterotrophs","Autotrophs","یوکیریوٹک","ملٹی سیلولر","ہیٹروٹرافس","آٹوٹروفس","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","All of these are characteristics of Fungi-except:","اس کے سوا تمام فنجائی کی خصوصیات ہیں:","Absoprtive mode of life","Multicellar eukaryotes","Mostly decomposers","Cell wall is made of cellulose","زندگی کا جاذب موڈ","ملٹی سیلر یوکرائٹس","زیادہ تر گلنے والے","سیل کی دیوار سیلولوز سے بنتی ہے","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Who suggest the first system of classification of organisms?","جانداروں کی کلاسفیکیشن کا پہلا سسٹم تجویز کیا؟","Al-Jahiz","Aristotle","John Ray","Averroes","الجہیز","ارسطو","جان رائے","ایورروز","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Euglena belongs to the kingdom protista because:","یوگلینا کا تعلق کنگڈم پروٹیسٹا سے ہے کیونکہ:","It is unicellular","It is eukaryotic","It has both plant and animal like characters","It lives in water","یہ یونی سیلولر ہے","یہ یوکرائیوٹک ہے","اس میں پودوں اور جانوروں دونوں کی خصوصیات ہیں","یہ پانی میں رہتا ہے","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","The kingdom which contains eukaryotic autotrophic organisms is:","کنگڈم جو کہ یوکیروٹک آٹو ٹراف جاندار رکھتا ہے:","Protista","Fungi","Monera","None of them","پروٹسٹا","فنجائی","مونیرا","ان میں سے کوئی نہیں","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","Which of the following kingdoms possesses the simplest organisms?","مندرجہ ذیل میں سے کس کنگڈم کے پاس سادہ ترین جاندار ہیں؟","Fungi","Eubacteria and Archaebacteria","Protista","Plantae","فنجائی","یوبیکٹیریا اور آرکی بیکٹیریا","پروٹسٹا","پلانٹی","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 2","2.4 History of Classification","MCQ","Medium","1","A certain organisms is multicellular, adapted for photosynthesis and has multicellular sex organs. To which kingdom does it belong?","ایک جاندار جو ملٹی سیلولر ہے، فوٹو سینتھی سیز کرتا ہے، اور ملٹی سیلولر سپی شیز آرگنز رکھتا ہے یہ کس کنگڈم سے تعلق رکھتا ہے؟","Animalia","Fungi","Plantae","Protista","اینملیا","فنجائی","پلانٹی","پروٹسٹا","C","Additional",""
